CVX Label	CVX	TCH Label	TCH	Use Status	Check	Diphtheria	HPV	HepA	HepB	Hib	Influenza	Measles	Mening	Mumps	PPSV	Pertussis	Pneumo	Polio	Rotavirus	Rubella	Varicella	Zoster
DT (pediatric)	28	DT	112	SUPPORTED		CHILD																
CMVIG	29	CMVIG	1070	NOT SUPPORTED																		
HBIG	30	HBIG	1230	NOT SUPPORTED																		
"Hep A, pediatric, unspecified formulation"	31	Hep A	145	SUPPORTED				CHILD														
meningococcal MPSV4	32	Meningococcal polysaccharide(MPSV4)	182	SUPPORTED									MPSV4									
pneumococcal polysaccharide PPV23	33	PPV23	155	SUPPORTED											PPSV							
RIG	34	RIG	1740	NOT SUPPORTED																		
"tetanus toxoid, adsorbed"	35	tetanus toxoid	1830	NOT SUPPORTED																		
VZIG	36	VZIG	2010	SUPPORTED																		SINGLE
yellow fever	37	yellow fever	2020	NOT SUPPORTED							LIVE	OTHER LIVE		OTHER LIVE						OTHER LIVE	SAME LIVE	LIVE
rubella/mumps	38	Rubella/Mumps	175	SUPPORTED							LIVE	SAME LIVE & MUMPS & RUBELLA		MUMPS & RUBELLA						MUMPS & RUBELLA	SAME LIVE	LIVE
Japanese encephalitis SC	39	Japanese Encephalitis-SC	1490	NOT SUPPORTED																		
"rabies, intradermal injection"	40	Rabies	210	NOT SUPPORTED								OTHER LIVE		OTHER LIVE						OTHER LIVE	OTHER LIVE	LIVE
"typhoid, parenteral"	41	"typhoid, parenteral"	1920	NOT SUPPORTED																		
"Hep B, adolescent/high risk infant"	42	"Hep B, adolescent/high risk infant"	1250	SUPPORTED					RECOMBIVAX & SERIES													
"Hep B, adult"	43	"Hep B, adult"	1260	SUPPORTED					ADULT													
"Hep B, dialysis"	44	"Hep B, dialysis"	1270	SUPPORTED					SERIES													
"Hep B, unspecified formulation"	45	Hep B	137	SUPPORTED					SERIES & FIRST													
Hib (PRP-D)	46	Hib (PRP-D)	1320	SUPPORTED						BOOSTER DOSE												
Hib (HbOC)	47	Hib (HbOC)	1330	SUPPORTED						BOOSTER DOSE & HIB ONLY & SERIES DOSE												
Hib (PRP-T)	48	Hib (PRP-T)	1340	SUPPORTED						BOOSTER DOSE & HIB ONLY & SERIES DOSE												
Hib (PRP-OMP)	49	Hib (PRP-OMP)	1350	SUPPORTED						BOOSTER DOSE & SERIES DOSE & PRP-OMP												
DTaP-Hib	50	DTaP-Hib	113	SUPPORTED		CHILD				BOOSTER DOSE & TRIHIBIT												
Hib-Hep B	51	Hib-Hep B	136	SUPPORTED					SERIES & COMBO	BOOSTER DOSE & SERIES DOSE & PRP-OMP												
"Hep A, adult"	52	"Hep A, adult"	1170	SUPPORTED				ADULT														
"typhoid, parenteral, AKD (U.S. military)"	53	"typhoid, parenteral, AKD(U.S. military)"	1930	NOT SUPPORTED																		
"adenovirus, type 4"	54	"adenovirus, type 4"	1000	NOT SUPPORTED																		
"adenovirus, type 7"	55	"adenovirus, type 7"	1010	NOT SUPPORTED																		
dengue fever	56	dengue fever	1080	NOT SUPPORTED																		
hantavirus	57	hantavirus	1160	NOT SUPPORTED																		
Hep C	58			NOT SUPPORTED																		
Hep E	59	Hep E	1300	NOT SUPPORTED																		
herpes simplex 2	60	herpes simplex 2	1310	NOT SUPPORTED																		
HIV	61			NOT SUPPORTED																		
"HPV, quadrivalent"	62	"HPV,quadrivalent"	390	SUPPORTED			HPV															
Junin virus	63			NOT SUPPORTED																		
leishmaniasis	64	leishmaniasis	1510	NOT SUPPORTED																		
leprosy	65	leprosy	1520	NOT SUPPORTED																		
Lyme disease	66	Lyme disease	209	NOT SUPPORTED																		
malaria	67	malaria	1570	NOT SUPPORTED																		
melanoma	68	melanoma	1590	NOT SUPPORTED																		
parainfluenza-3	69	parainfluenza-3	1630	NOT SUPPORTED																		
Q fever	70	Q fever	1680	NOT SUPPORTED																		
RSV-IGIV	71	RSV-IGIV	1760	NOT SUPPORTED																		
rheumatic fever	72	rheumatic fever	1720	NOT SUPPORTED																		
Rift Valley fever	73	Rift Valley fever	1730	NOT SUPPORTED																		
"rotavirus, tetravalent"	74	Rotavirus(used in 1998-1999 only)	208	SUPPORTED															ROTAVIRUS			
vaccinia (smallpox)	75	smallpox	1800	NOT SUPPORTED																		
Staphylococcus bacterio lysate	76	Staphylococcus bacterio lysate	1810	NOT SUPPORTED																		
tick-borne encephalitis	77	tick-borne encephalitis	1840	NOT SUPPORTED																		
tularemia vaccine	78	tularemia vaccine	1900	NOT SUPPORTED																		
vaccinia immune globulin	79	vaccinia immune globulin	1960	NOT SUPPORTED																		
"VEE, live"	80	"VEE, live"	1990	NOT SUPPORTED								OTHER LIVE		OTHER LIVE						OTHER LIVE	SAME LIVE	LIVE
"VEE, inactivated"	81	"VEE, inactivated"	1980	NOT SUPPORTED																		
"adenovirus, unspecified formulation"	82	"adenovirus, NOS"	1020	NOT SUPPORTED																		
"Hep A, ped/adol, 2 dose"	83	"Hep A, ped/adol, 2 dose"	1180	SUPPORTED				CHILD														
"Hep A, ped/adol, 3 dose"	84	"Hep A, ped/adol, 3 dose"	1190	SUPPORTED				CHILD														
"Hep A, unspecified formulation"	85	Hep A	145	SUPPORTED				CHILD														
IG	86	IG	1400	NOT SUPPORTED																		
IGIV	87	IGIV	1410	NOT SUPPORTED																		
"influenza, unspecified formulation"	88	"Influenza IIV3, NOS"	179	SUPPORTED							FLU & FLU+											
"polio, unspecified formulation"	89	Polio	153	SUPPORTED														ANY & IPV				
"rabies, unspecified formulation"	90	Rabies	210	NOT SUPPORTED																		
"typhoid, unspecified formulation"	91	"typhoid, NOS"	1950	NOT SUPPORTED																		
"VEE, unspecified formulation"	92	"VEE, NOS"	2000	NOT SUPPORTED																		
RSV-MAb	93	RSV-MAb	1770	NOT SUPPORTED																		
MMRV	94	MMRV	159	SUPPORTED							LIVE	MUMPS & RUBELLA & MMRV & MEASLES		MUMPS & RUBELLA & MMRV & MEASLES						MUMPS & RUBELLA & MMRV & MEASLES	MMRV	
TST-OT tine test	95	TST-OT tine test	1860	NOT SUPPORTED																		
TST-PPD intradermal	96	TST-PPD intradermal	1870	NOT SUPPORTED																		
TST-PPD tine test	97	TST-PPD tine test	1880	NOT SUPPORTED																		
"TST, unspecified formulation"	98	"TST, NOS"	1890	NOT SUPPORTED																		
RESERVED - do not use	99			NOT SUPPORTED																		
pneumococcal conjugate PCV 7	100	PCV7	154	SUPPORTED											PCV		PCV & PCV7					
"typhoid, ViCPs"	101	"typhoid, ViCPs"	1940	NOT SUPPORTED																		
DTP-Hib-Hep B	102	DTP-Hib-Hep B	1150	SUPPORTED		CHILD				TODO: Brady look at Hib Schedule												
meningococcal C conjugate	103	Meningococcal C conjugate	197	NOT SUPPORTED																		
Hep A-Hep B	104	Hep A-Hep B	146	SUPPORTED				TWINRIX	SERIES													
vaccinia (smallpox) diluted	105			NOT SUPPORTED																		
"DTaP, 5 pertussis antigens"	106	DTaP	110	SUPPORTED		CHILD																
"DTaP, unspecified formulation"	107	DTaP	110	SUPPORTED		CHILD																
"meningococcal, unspecified formulation"	108	"Meningococcal,NOS"	184	SUPPORTED									MCV4									
"pneumococcal, unspecified formulation"	109	"Pneumococcal,NOS"	156	SUPPORTED											PCV		PCV & PCV7					
DTaP-Hep B-IPV	110	DTaP-HepB-IPV	114	SUPPORTED		CHILD			SERIES & COMBO									ANY & IPV				
"influenza, live, intranasal"	111	Influenza LAIV3	180	SUPPORTED							NASAL & FLU & FLU+	OTHER LIVE		OTHER LIVE						OTHER LIVE	SAME LIVE	LIVE
"tetanus toxoid, unspecified formulation"	112			NOT SUPPORTED																		
Td (adult) preservative free	113	Td No Prsrv	124	SUPPORTED		TD & ADULT																
meningococcal MCV4P	114	MCV4 (Menactra)	183	SUPPORTED									MCV4 & MENACTRA									
Tdap	115	Tdap	123	SUPPORTED		ADULT										PERTUSSIS						
"rotavirus, pentavalent"	116	"Rotavirus,pentavalent(RV5,3 dose)"	207	SUPPORTED															ROTATEQ & ROTAVIRUS			
VZIG (IND)	117			NOT SUPPORTED																		
"HPV, bivalent"	118	"HPV,bivalent"	391	SUPPORTED			HPV															
"rotavirus, monovalent"	119	"Rotavirus,monovalent(RV1,2 dose)"	206	SUPPORTED															ROTARIX & ROTAVIRUS			
DTaP-Hib-IPV	120	DTaP-Hib-IPV	115	SUPPORTED		CHILD				BOOSTER DOSE & SERIES DOSE								ANY & IPV				
zoster	121	zoster	2110	SUPPORTED																		SINGLE
"rotavirus, unspecified formulation"	122	"Rotavirus, NOS"	212	SUPPORTED															ROTAVIRUS			
"influenza, H5N1-1203"	123			NOT SUPPORTED																		
"Novel Influenza-H1N1-09, nasal"	125	"Novel H1N1-09,Live,Nasal"	187	SUPPORTED							H1N1											
"Novel influenza-H1N1-09, preservative-free"	126	"Novel H1N1-09,Injectable,Presv-free"	188	SUPPORTED							H1N1											
Novel influenza-H1N1-09	127	"Novel H1N1-09,Injectable"	189	SUPPORTED							H1N1											
"Novel Influenza-H1N1-09, all formulations"	128	"Novel H1N1-09,NOS"	186	SUPPORTED							H1N1											
"Japanese Encephalitis, unspecified formulation"	129			NOT SUPPORTED																		
DTaP-IPV	130	DTaP-IPV	116	SUPPORTED		CHILD												ANY & IPV				
"typhus, historical"	131	"Typhus,Historical"	3141	NOT SUPPORTED																		
"DTaP-IPV-HIB-HEP B, historical"	132	DTaP-IPV-HIB-HepB	142	SUPPORTED		CHILD			SERIES & COMBO	SERIES DOSE								ANY & IPV				
Pneumococcal conjugate PCV 13	133	"Pneumococcal, PCV-13"	3143	SUPPORTED											PCV		PCV13 & PCV					
Japanese Encephalitis IM	134	Japanese Encephalitis-IM	1491	NOT SUPPORTED																		
"Influenza, high dose seasonal"	135	"Influenza IIV3, high dose >18 yrs"	185	SUPPORTED							FLU & FLU+											
Meningococcal MCV4O	136	MCV4 (Menveo)	198	SUPPORTED									MCV4 & MENVEO									
"HPV, unspecified formulation"	137	"HPV,bivalent"	391	SUPPORTED			HPV															
Td (adult)	138	Td	122	SUPPORTED		TD & ADULT																
Td(adult) unspecified formulation	139	Td	122	SUPPORTED		TD & ADULT																
"Influenza, seasonal, injectable, preservative free"	140	Influenza IIV3 PF	200	SUPPORTED							FLU & FLU+											
"Influenza, seasonal, injectable"	141	Influenza IIV3 with pres	201	SUPPORTED							FLU & FLU+											
"tetanus toxoid, not adsorbed"	142			NOT SUPPORTED																		
Adenovirus types 4 and 7	143			NOT SUPPORTED																		
"influenza, seasonal, intradermal, preservative free"	144	"Influenza IIV3 >=18 years, intradermal"	202	SUPPORTED							TODO											
RSV-MAb (new)	145			NOT SUPPORTED																		
"DTaP,IPV,Hib,HepB"	146	DTaP-IPV-HIB-HepB	142	SUPPORTED		CHILD			SERIES & COMBO	SERIES DOSE								ANY & IPV				
"meningococcal MCV4, unspecified formulation"	147	"Meningococcal,NOS"	184	SUPPORTED									MCV4									
Meningococcal C/Y-HIB PRP	148	Meningococcal C/Y-HIB PRP	213	SUPPORTED						SERIES & BOOSTER			SERIES & BOOSTER									
"influenza, live, intranasal, quadrivalent"	149	Influenza LAIV4 Nasal	203	SUPPORTED							NASAL & FLU & FLU+											
"influenza, injectable, quadrivalent, preservative free"	150	Influenza IIV4	204	SUPPORTED							FLU & FLU+											
"influenza nasal, unspecified formulation"	151	Influenza LAIV4 Nasal	203	SUPPORTED							NASAL & FLU & FLU+											
"Pneumococcal Conjugate, unspecified formulation"	152	"Pneumococcal,NOS"	156	SUPPORTED											PCV							
"Influenza, injectable, MDCK, preservative free"	153			PENDING							FLU & FLU+											
"Hep A, IG"	154			NOT SUPPORTED																		
"influenza, recombinant, injectable, preservative free"	155	"influenza, recombinant, injectable, preservative free"	179	SUPPORTED							FLU & FLU+											
Rho(D)-IG	156			NOT SUPPORTED																		
Rho(D) -IG IM	157			NOT SUPPORTED																		
"influenza, injectable, quadrivalent"	158	"influenza, injectable, quadrivalent"	204	SUPPORTED							FLU & FLU+											
Rho(D) - Unspecified formulation	159			NOT SUPPORTED																		
"Influenza A monovalent (H5N1), ADJUVANTED-2013"	160			PENDING																		
"Influenza, injectable,quadrivalent, preservative free, pediatric"	161			PENDING																		
AS03 Adjuvant	801			NOT SUPPORTED																		
no vaccine administered	998			NOT SUPPORTED																		
unknown	999	Unknown	9999	NOT SUPPORTED																		
